Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
infidel,IN-fih-dul,n.,unbeliever,The Saracens made war against the infidels.,"unbeliever, heathen","believer, devotee",Latin infidelis
infiltrate,in-FIL-trayt,v.,pass into or through; penetrate sneakily,"In order to infiltrate enemy lines at night, the scouts darkened their faces and wore black coveralls.","penetrate, sneak into","withdraw, retreat",Latin in- + filtrare (to filter)
infinitesimal,in-fin-ih-TES-ih-mul,adj.,very small,"In the twentieth century, physicists made discoveries about infinitesimal objects like the atom.","minuscule, tiny","enormous, immense",Latin infinitesimus
infirmity,in-FUR-mih-tee,n.,weakness,Her greatest infirmity was lack of willpower.,"frailty, weakness","strength, vigor",Latin infirmitas
inflated,in-FLAY-tid,adj.,exaggerated; pompous; enlarged,His claims about the new product were inflated; it did not work as well as promised.,"exaggerated, overblown","deflated, modest",Latin inflare (to blow into)
influx,IN-fluks,n.,flowing into,The influx of refugees into the country has taxed the relief agencies severely.,"inflow, arrival","outflow, exodus",Latin influere (to flow in)
infraction,in-FRAK-shun,n.,violation of a rule; breach,"When Dennis Rodman butted heads with the referee, he committed a clear infraction of NBA rules.","violation, breach","compliance, observance",Latin infringere (to break)
infringe,in-FRINJ,v.,violate; encroach,I think your machine infringes on my patent and I intend to sue.,"violate, encroach","comply, observe",Latin infringere (to break)
ingenious,in-JEEN-yus,adj.,clever; resourceful,Kit admired the ingenious way that her computer keyboard opened to reveal the built-in CD-ROM.,"clever, inventive","unimaginative, dull",Latin ingenium (natural talent)
ingenuous,in-JEN-yoo-us,adj.,naive and trusting; young; unsophisticated,The woodsman did not realize how ingenuous Little Red Riding Hood was until he heard her tale.,"naive, artless","sophisticated, cunning","Latin ingenuus (freeborn, frank)"
ingrained,in-GRAYND,adj.,deeply established; firmly rooted,"Try as they would, the missionaries were unable to uproot the ingrained superstitions of the natives.","deep-rooted, entrenched","superficial, removable",in- + grain
ingrate,IN-grayt,n.,ungrateful person,That ingrate Bob sneered at the tie I gave him.,"ingrate, thankless person",—,Latin in- + gratus (grateful)
ingratiate,in-GRAY-shee-ayt,v.,become popular with,He tried to ingratiate himself into her parents' good graces.,"curry favor, charm","alienate, offend",Latin in- + gratia (favor)
inherent,in-HEER-ent,adj.,firmly established by nature or habit,Katya's inherent love of justice caused her to champion anyone treated unfairly.,"intrinsic, innate","acquired, extrinsic",Latin inhaerere (to stick in)
inhibit,in-HIB-it,v.,restrain; retard or prevent,Only two things inhibited him from punching Mike Tyson: Tyson's left hook and right jab.,"restrain, hinder","encourage, facilitate",Latin inhibere (to hold in)
inimical,ih-NIM-ih-kul,adj.,unfriendly; hostile; harmful; detrimental,I've always been friendly to Martha. Why is she so inimical to me?,"hostile, antagonistic","friendly, amicable",Latin inimicus (enemy)
inimitable,ih-NIM-ih-tuh-bul,adj.,matchless; not able to be imitated,We admire Auden for his inimitable use of language; he is one of a kind.,"unique, matchless","ordinary, common",Latin in- + imitabilis
iniquitous,ih-NIK-wih-tus,adj.,wicked; immoral; unrighteous,"Whether or not King Richard III was responsible for the murder of the princes, it was an iniquitous deed.","wicked, sinful","righteous, virtuous",Latin iniquus (unjust)
initiate,ih-NISH-ee-ayt,v.,begin; originate; receive into a group,The college is about to initiate a program for reducing math anxiety among students.,"commence, begin","conclude, end",Latin initiare
injurious,in-JOOR-ee-us,adj.,harmful,Smoking cigarettes can be injurious to your health.,"harmful, detrimental","beneficial, helpful",Latin injuriosus
inkling,ING-kling,n.,hint,This came as a complete surprise to me as I did not have the slightest inkling of your plans.,"hint, intimation",—,Middle English inclen (to hint)
innate,ih-NAYT,adj.,inborn,Mozart's parents soon recognized young Wolfgang's innate talent for music.,"inborn, intrinsic","acquired, learned",Latin innatus
innocuous,ih-NOK-yoo-us,adj.,harmless,An occasional glass of wine with dinner is relatively innocuous and should have no ill effect.,"harmless, benign","harmful, noxious",Latin innocuus
innovation,in-uh-VAY-shun,n.,change; introduction of something new,Richard didn't always abandon tried and true techniques in favor of the latest innovations.,"novelty, invention","tradition, convention",Latin innovare (to renew)
innuendo,in-yoo-EN-doh,n.,hint; insinuation,I can defend myself against direct accusations; innuendos and oblique attacks are what trouble me.,"insinuation, implication",direct statement,Latin innuere (to nod to)
inopportune,in-op-er-TOON,adj.,untimely; poorly chosen,A rock concert is an inopportune setting for a quiet conversation.,"untimely, ill-timed","opportune, timely",Latin in- + opportunus
inordinate,in-OR-dih-nit,adj.,unrestrained; excessive,"She had an inordinate fondness for candy, eating two or three boxes in a single day.","excessive, immoderate","moderate, restrained",Latin in- + ordinare (to regulate)
inquisitor,in-KWIZ-ih-tor,n.,questioner (especially harsh); investigator,"Fearing being grilled ruthlessly by the secret police, Marsha faced her inquisitors with trepidation.","interrogator, examiner",—,Latin inquirere (to inquire)
insalubrious,in-suh-LOO-bree-us,adj.,unwholesome; not healthful,"The mosquito-ridden swamp was an insalubrious place, a breeding ground for contagion.","unhealthy, noxious","salubrious, healthful",Latin in- + salubris
insatiable,in-SAY-shuh-bul,adj.,not easily satisfied; unquenchable,The young writer's thirst for knowledge was insatiable: she was always in the library.,"unquenchable, voracious","satisfiable, content",Latin in- + satiare (to satisfy)
inscrutable,in-SKROO-tuh-bul,adj.,impenetrable; not readily understood; mysterious,Experienced poker players try to keep their expressions inscrutable.,"mysterious, enigmatic","clear, transparent",Latin in- + scrutari (to search)
insensate,in-SEN-sayt,adj.,without feeling,She lay there as insensate as a log.,"unfeeling, senseless","sentient, feeling",Latin in- + sensatus
insensible,in-SEN-sih-bul,adj.,unconscious; unresponsive,"At times when I would be covered with embarrassment, she seems insensible to shame.","unaware, unresponsive","sensible, aware",Latin in- + sensibilis
insidious,in-SID-ee-us,adj.,treacherous; stealthy; sly,The fifth column is insidious because it works secretly within our territory for our defeat.,"stealthy, treacherous","open, forthright",Latin insidiae (ambush)
insightful,IN-syt-ful,adj.,discerning; perceptive,"Sol thought he was very insightful about human behavior, but actually he was clueless.","perceptive, discerning","obtuse, unperceptive",in- + sight
insinuate,in-SIN-yoo-ayt,v.,hint; imply; creep in,"When you said I looked robust, did you mean to insinuate that I'm getting fat?","imply, hint",state directly,Latin insinuare (to wind one's way into)
insipid,in-SIP-id,adj.,lacking flavor; dull,Flat prose and flat ginger ale are equally insipid: both lack sparkle.,"bland, dull","savory, lively",Latin insipidus
insolence,IN-suh-lens,n.,impudent disrespect; haughtiness,How dare you treat me so rudely! The manager will hear of your insolence.,"impudence, rudeness","politeness, deference",Latin insolentia
insolvent,in-SOL-vent,adj.,bankrupt; lacking money to pay,"When rumors that he was insolvent reached his creditors, they began pressing him for payment.","bankrupt, broke","solvent, financially sound",Latin in- + solvere (to pay)
insomnia,in-SOM-nee-uh,n.,wakefulness; inability to sleep,She refused to join us for coffee because she claimed it gave her insomnia.,"sleeplessness, wakefulness",—,Latin in- + somnus (sleep)
insouciant,in-SOO-see-ant,adj.,indifferent; without concern or care,Your insouciant attitude at such a critical moment indicates you don't understand the gravity of it.,"nonchalant, carefree","anxious, concerned",French in- + souciant
instigate,IN-stih-gayt,v.,urge; start; provoke,"Delighting in mischief, Sir Toby sets out to instigate a quarrel between Sir Andrew and Cesario.","provoke, incite","discourage, quell",Latin instigare
insubordination,in-suh-bor-dih-NAY-shun,n.,disobedience; rebelliousness,"At the slightest hint of insubordination from the sailors, Captain Bligh had them flogged.","disobedience, defiance","obedience, compliance",in- + subordination
insubstantial,in-sub-STAN-shul,adj.,lacking substance; insignificant; frail,His hopes for a career in acting proved insubstantial; no one would cast him.,"flimsy, frail","substantial, solid",Latin in- + substantia
insularity,in-suh-LAIR-ih-tee,n.,narrow-mindedness; isolation,The insularity of the islanders manifested itself in their suspicion of anything foreign.,"narrow-mindedness, isolation","worldliness, openness",Latin insula (island)
insuperable,in-SOO-per-uh-bul,adj.,insurmountable; unbeatable,"Though the odds against their survival seemed insuperable, the Apollo 13 astronauts reached earth safely.","insurmountable, unbeatable","surmountable, manageable",Latin in- + superare (to overcome)
insurgent,in-SUR-jent,adj.,rebellious,Insurgent forces had occupied the capital and gained control of the railway lines.,"rebellious, mutinous","loyal, obedient",Latin insurgere (to rise up)
insurmountable,in-sur-MOWN-tuh-bul,adj.,overwhelming; unbeatable; insuperable,"Facing almost insurmountable obstacles, the underground members maintained their will to resist.","unconquerable, insuperable","surmountable, conquerable",in- + surmount
insurrection,in-suh-REK-shun,n.,rebellion; uprising,"In retrospect, given how badly the British treated the colonists, the eventual insurrection seems inevitable.","rebellion, revolt","submission, peace",Latin insurgere (to rise up)
intangible,in-TAN-jih-bul,adj.,not able to be perceived by touch; vague,"Though financial benefits of his Oxford post were meager, he was drawn by intangible rewards: prestige, freedom.","vague, abstract","tangible, concrete",Latin in- + tangere (to touch)
integral,IN-tih-grul,adj.,complete; necessary for completeness,Physical education is an integral part of our curriculum.,"essential, fundamental","peripheral, optional",Latin integer (whole)
integrate,IN-tih-grayt,v.,make whole; combine into one unit,She tried to integrate all their activities into one program.,"unify, combine","segregate, separate",Latin integrare
integrity,in-TEG-rih-tee,n.,uprightness; wholeness,"Lincoln, whose personal integrity has inspired millions, fought to maintain the integrity of the republic.","honesty, wholeness","corruption, dishonesty",Latin integritas
intellect,IN-tuh-lekt,n.,higher mental powers,He thought college would develop his intellect.,"intelligence, mind",—,Latin intellectus
intelligentsia,in-tel-ih-JENT-see-uh,n.,intellectuals; members of the educated elite,She preferred discussions about sports and politics to the literary conversations of the intelligentsia.,"intellectuals, literati","masses, commoners",Russian intelligentsiya
